           t           p         gam          mw
   1.4719E+03  6.8947E+00  1.2761E+00  1.4976E+01
   1.3138E+03  3.8382E+00  1.2445E+00  1.5020E+01
   1.0134E+03  4.7492E-01  1.1374E+00  1.5083E+01
   1.4838E+03  1.0342E+01  1.2690E+00  1.5029E+01
   1.3307E+03  5.7721E+00  1.2369E+00  1.5080E+01
   1.0313E+03  7.1400E-01  1.1384E+00  1.5137E+01
   1.4940E+03  1.3789E+01  1.2639E+00  1.5077E+01
   1.3442E+03  7.7083E+00  1.2321E+00  1.5131E+01
   1.0446E+03  9.5306E-01  1.1392E+00  1.5181E+01
   1.5030E+03  1.7237E+01  1.2600E+00  1.5120E+01
   1.3554E+03  9.6460E+00  1.2287E+00  1.5176E+01
   1.0551E+03  1.1921E+00  1.1398E+00  1.5220E+01
   1.5111E+03  2.0684E+01  1.2568E+00  1.5160E+01
   1.3651E+03  1.1585E+01  1.2262E+00  1.5216E+01
   1.0639E+03  1.4310E+00  1.1404E+00  1.5253E+01
   1.5185E+03  2.4132E+01  1.2542E+00  1.5197E+01
   1.3736E+03  1.3524E+01  1.2243E+00  1.5254E+01
   1.0714E+03  1.6699E+00  1.1409E+00  1.5284E+01
   1.5253E+03  2.7579E+01  1.2521E+00  1.5232E+01
   1.3813E+03  1.5464E+01  1.2227E+00  1.5288E+01
   1.0781E+03  1.9087E+00  1.1413E+00  1.5312E+01
   1.5315E+03  3.1026E+01  1.2502E+00  1.5265E+01
   1.3883E+03  1.7404E+01  1.2214E+00  1.5321E+01
   1.0840E+03  2.1474E+00  1.1416E+00  1.5338E+01
   1.5374E+03  3.4474E+01  1.2485E+00  1.5296E+01
   1.3948E+03  1.9345E+01  1.2203E+00  1.5351E+01
   1.0894E+03  2.3861E+00  1.1420E+00  1.5362E+01
   3.1828E+03  6.8947E+00  1.1473E+00  2.1382E+01
   2.9965E+03  3.9574E+00  1.1515E+00  2.1634E+01
   2.2426E+03  4.6963E-01  1.2048E+00  2.2199E+01
   3.2227E+03  1.0342E+01  1.1513E+00  2.1458E+01
   3.0263E+03  5.9265E+00  1.1560E+00  2.1698E+01
   2.2386E+03  6.9809E-01  1.2092E+00  2.2211E+01
   3.2503E+03  1.3789E+01  1.1541E+00  2.1511E+01
   3.0465E+03  7.8927E+00  1.1594E+00  2.1742E+01
   2.2355E+03  9.2506E-01  1.2120E+00  2.2219E+01
   3.2713E+03  1.7237E+01  1.1564E+00  2.1551E+01
   3.0616E+03  9.8567E+00  1.1620E+00  2.1775E+01
   2.2329E+03  1.1510E+00  1.2139E+00  2.2224E+01
   3.2881E+03  2.0684E+01  1.1583E+00  2.1583E+01
   3.0735E+03  1.1819E+01  1.1641E+00  2.1801E+01
   2.2308E+03  1.3762E+00  1.2153E+00  2.2227E+01
   3.3020E+03  2.4132E+01  1.1599E+00  2.1610E+01
   3.0833E+03  1.3780E+01  1.1660E+00  2.1823E+01
   2.2291E+03  1.6008E+00  1.2165E+00  2.2230E+01
   3.3139E+03  2.7579E+01  1.1613E+00  2.1632E+01
   3.0915E+03  1.5740E+01  1.1675E+00  2.1841E+01
   2.2275E+03  1.8249E+00  1.2174E+00  2.2232E+01
   3.3242E+03  3.1026E+01  1.1626E+00  2.1652E+01
   3.0986E+03  1.7698E+01  1.1689E+00  2.1857E+01
   2.2262E+03  2.0486E+00  1.2182E+00  2.2234E+01
   3.3333E+03  3.4474E+01  1.1637E+00  2.1670E+01
   3.1048E+03  1.9656E+01  1.1702E+00  2.1871E+01
   2.2250E+03  2.2719E+00  1.2188E+00  2.2236E+01
   3.3575E+03  6.8947E+00  1.1203E+00  2.4764E+01
   3.2207E+03  4.0088E+00  1.1160E+00  2.5156E+01
   2.7872E+03  5.2879E-01  1.1033E+00  2.6576E+01
   3.4158E+03  1.0342E+01  1.1222E+00  2.4898E+01
   3.2735E+03  6.0094E+00  1.1178E+00  2.5289E+01
   2.8236E+03  7.9094E-01  1.1049E+00  2.6707E+01
   3.4579E+03  1.3789E+01  1.1236E+00  2.4995E+01
   3.3115E+03  8.0090E+00  1.1191E+00  2.5386E+01
   2.8495E+03  1.0524E+00  1.1060E+00  2.6801E+01
   3.4909E+03  1.7237E+01  1.1246E+00  2.5071E+01
   3.3413E+03  1.0008E+01  1.1201E+00  2.5461E+01
   2.8696E+03  1.3135E+00  1.1069E+00  2.6874E+01
